id,title.main_title,title.subtitle,date.date_display,date.date_display_classification,date.date_radical,date.date_radical_classification,subjects.topics,subjects.form_genre,edition_enumeration,classifications,contributions,languages,places,relationships,held_by,electronic_locator,summary,notes,cluster,pc1,pc2
3276,Abbozzo di un quadro storico dei progressi dello spirito umano. Opera postuma di Condorcet,,1797,,,,History (FAST Topic); Philosophy (FAST Topic),Banned works (Additional Genre Terms); Essays (FAST Forms),,Partial (Translation Status),"translator::person::1212::Luigi Bossi; publisher::organisation::1069::Zatta, Giovanni",Italian,3164603::Venice::Italy,::translation of::2958::Esquisse d'un tableau historique des progrès de l'esprit humain: Ouvrage posthume de Condorcet (1795),organisation::1227::Biblioteca Storia Moderna e Contemporanea,https://books.google.co.uk/books?id=xcnZ2JB8Y84C&printsec=frontcover&dq=Abbozzo+di+un+quadro+storico+dei+progressi+dello+spirito+umano.Opera+postuma+di+Condorcet&hl=it&sa=X&ved=0ahUKEwig2oSY7eflAhVXPcAKHQbjB8UQ6AEIKTAA#v=onepage&q=Abbozzo%20di%20un%20quadro%20storico%20dei%20progressi%20dello%20spirito%20umano.Opera%20postuma%20di%20Condorcet&f=false,,"Bossi, a Milanese noble, was active in the Società di istruzione pubblica (Society of public education) in Venice during the period of the revolutionary municipality. He completed his translation while he was busy promoting the French revolutionary ideals in Venice. In the eyes of the translator the most cherished innovation brought by the French armies was the freedom of the press that allowed the publication of Condorcet's masterpiece.
Bossi claimed that any mistakes of translation were due to his activism in the democratic new life of the city. At the same time, Bossi intervened with footnotes to clarify Condorcet's thought whenever it could appear too anti-clerical. Condorcet - following Bossi's reasoning - was an enemy of fanatism and not of Christianism in itself (see footnote p.66).",2,-0.2514687473061644,0.72355806231412
3277,Abbozzo di un quadro storico dei progressi dello spirito umano. Opera postuma di Condorcet,,,,,,History (FAST Topic); Philosophy (FAST Topic),Essays (FAST Forms),,Appendix (Paratext Forms); Notes (Paratext Forms); Preface (Paratext Forms); Meta-communicative (Paratext Functions); Text-activating (Paratext Functions),author::person::1212::Luigi Bossi,Italian,3164603::Venice::Italy,::paratext of::2150::Abbozzo di un quadro storico dei progressi dello spirito umano. Opera postuma di Condorcet (1797),,,"p. III translator's preface: ""L'edizione in italiano dell'Opera postuma di Condorcet [...] era fatta per onorare i primordi della Veneta rigenerazione [...] tra i doni piu' preziosi arrecati dalla Democrazia, rinasce ad universal giovamento la liberta' della stampa. p. V-VI: ""Mi resta a dire una parola della mia traduzione, e delle note. La prima fatta molto frettolosamente, ed in mezzo alle molte occupazioni, che la Democrazia porta di sua natura ad ogn'essere prensante, non si trovera' elegante, ne limata, ma fedele, esatta, sincera. Alcune brevi note ho creduto di aggiungere a pie' di pagina [...] per rischiarare alcune idee, che Condorcet nella folla delle cose ha toccate appena di volo, e non abbastanza esposte, e far si', che alcune espressioni un po' concise, contro la superstizione, ed i ministri pregiudicati della religione anche piu' santa, non intese, o prese in mala parte, non allontanino de'lettori dilicati, o timorosi da un'opera cosi' interessante, e cosi' istruttiva"".","Bossi included in his footnotes a resume and extracts from two other works by Condorcet: Avis aux Espagnols, where the French philosopher wished Spain to be the next country to embrace the revolutionary ideals, and Adresse aux Bataves par Condorcet, where the French author invited Dutch people to opt for a more united form of government than the federalist form (p.61-64).",2,-0.20066788686953574,1.0085453106402433
4975,Abbreviation of the code of nature. Translated from Helvetius,,1795,,,,Conduct of life (FAST Topic),Essays (FAST Forms),,Partial (Translation Status),"publisher::organisation::2474::A Society of Gentlemen; translator::person::2477::I.L.; publisher::organisation::2475::March, J.",English,2641181::Norwich::United Kingdom,::translation of::3603::Le vrai sens du système de la nature (1774); ::part of::3604::The Cabinet (1794-10/1795),organisation::1221::British Library,https://www.google.co.uk/books/edition/The_Cabinet/ne1DAQAAMAAJ?hl=en&gbpv=1,,"Vol. 2, p. 13-15 of The Cabinet. Fragment from Helvétius on humanity, equality and citizenship.",1,-0.736463819950699,-0.07418380824876708
4247,"A.B.C., ossia vade-mecum teologico, opera del secolo dedicata al Papa, ai preti, ai Frati, alle Pinzocchere, ma molto più all'istruzione di chi ama e vuol conoscere la verità. Fatica d'un cappuccino scappuccinato, stampato sotto gli auspici dell'Art.354 della Cost. Cisalpina",,1798,,,French Republican Calendar (Wikidata),Anti-clericalism (FAST Topic); Philosophy (FAST Topic),Dictionaries (FAST Forms),,Abridged (Translation Status),translator::person::1984::Anonymous (86); publisher::organisation::1838::Gabinetto letterario,Italian,3173435::Milan::Italy,"::translation of::2870::Théologie portative, ou Dictionnaire abrégé de la réligion chrétienne par M. l'abbé Bernier licensié en théologie (1768)",,,,"Luciano Guerci pointed out that this text was an abridged translation of d'Holbach's Théologie portative, ou Dictionnaire abrégé de la religion Chrétienne. See L. Guerci ""Incredulità e rigenerazione nel Triennio repubblicano"" in Rivista Storica Italiana, 1997:1, p.96-97.",2,-0.17288534801942593,1.1722606781733467
3391,"Abrégé de l'histoire d'Angleterre, depuis l'invasion de Jules César jusqu'à la mort de George II. Par le Dr. Goldsmith, et continué jusqu'à l'année 1784. Traduit, sur la cinquième edition, par M. Le Bas de St. Amand",,1788,,,,History (FAST Topic); Politics and government (FAST Topic),Essays (FAST Forms),,Integral (Translation Status),"translator::person::1288::Le Bas de St. Amand; publisher::organisation::1108::Rivington, Francis and Charles",French,2643743::London::United Kingdom,"::translation of::2326::A new abridgement of the history of England, from the invasion of Julius Caesar, to the death of George II (1788)",organisation::1221::British Library,,,"Goldsmith's history of England was popular with French radicals for the social and political critique it contained. Revised editions published in 1801, 1809 and 1811.

Another translation by Pierre-François Henry was published in 1801.",4,0.06634513099018527,-0.42372606384807654
5303,"Abrégé de l'histoire d'Angleterre... par Goldsmith,... traduit de l'anglais sur la dernière édition",,1801,,An IX,,Politics and government (FAST Topic),Essays (FAST Forms),,Integral (Translation Status); Retranslation (Translation Status),"publisher::organisation::1109::Dentu, Jean-Gabriel; translator::person::1292::Pierre-François Henry",French,2988507::Paris::France,"::translation of::3964::A new abridgement of the history of England, from the invasion of Julius Caesar, to the death of George II (1788)",organisation::1222::Bibliothèque nationale de France,,,,4,0.9918379814261767,-0.11511953767095187
3859,Abrégé de l'origine de tous les cultes,,"[1797,1798]",,Year 6,,History (FAST Topic); Religion (FAST Topic),Essays (FAST Forms),,Source-text (Translation Status),author::person::1573::Charles-François Dupuis; publisher::person::1936::Henri Agasse,French,2988507::Paris::France,,,,,,3,1.0926385693706477,-0.6036489007730184
4701,Account of the government of Geneva by D'Alembert,,1793,,,,Politics and government (FAST Topic); Republicanism (FAST Topic),Essays (FAST Forms),,New edition (Printing and Publishing Status); Partial (Translation Status),translator::person::2318::Anonymous (186); publisher::person::2211::Thomas Spence,English,2643743::London::United Kingdom,::other edition::3330::A short account of the government of Geneva (1764),,https://quod.lib.umich.edu/e/ecco/004910016.0001.001?rgn=main;view=fulltext,,"Pigs meat, vol. 1 (1793), p. 106-108. Fragment from D'Alembert's Short account of the government of Geneva, praising the republican form of state and the egalitarian institutions. Taken from the 1764 translation.",1,-1.1059057393633427,-0.6596498582718131
4837,"A chronological account and brief history of the events of the French revolution, from the taking of the Bastille, in 1789, to the conquest of Holland, in 1795",,1795,,,,History (FAST Topic); Revolutions (FAST Topic); War (FAST Topic),Essays (FAST Forms),,Source-text (Translation Status),publisher; author::person::2381::Jean Talma,English,2643743::London::United Kingdom,,,https://books.google.be/books?id=lwqmniuQTlEC&pg=PT7&lpg=PT7&dq=%22it+acknowledges+that+the+worship+worthy+of+the+supreme+being%22&source=bl&ots=lmT58yn9dA&sig=ACfU3U01wSM5mqQsTldyhLmUY8QGa_arww&hl=nl&sa=X&ved=2ahUKEwjkyeDwgrjwAhVYSxUIHak5AoIQ6AEwBHoECAcQAw#v=onepage&q&f=false,,,1,-0.9681462308113352,-1.0163726616244224
5016,A citizen of America to the citizens of Europe,,1793-09,,,,Politics and government (FAST Topic); Revolutions (FAST Topic),"Correspondence, reminiscences, etc. (FAST Forms)",,Source-text (Translation Status),author::person::1186::Thomas Paine,English,2988507::Paris::France,,organisation::2485::Archives nationales de France,,,"Archival reference: États-Unis, vol. 38, f.90. No author, no publisher. Dated 28 July 1793. Manuscript of French translation mentions 'par Thomas Payne'. 
Edited in Moncure, Life and Works of Thomas Paine. It was sent to the American Ambassador Munroe along with other documents relating to Paine's imprisonment. ¨Part of this bundle 

appeared in the Morning Chronicle on 25 April 1794.",1,-0.10891756456118605,-0.9928315185181716
