software,developer,sector,open,function,active,legacy,comments,
11ty,,Community,y,static site generator,,,considered,
AccessiBe,AccessiBe company,For-profit company,,accessibility,,,considered,
ActiveCollab,ActiveCollab LLC,For-profit company,,project management ,y,,,
Adobe XD,Adobe,For-profit company,,graphic editor,y,,,
Affinity Designer,Serif,For-profit company,,graphic editor,y,,,
Affinity Photo,Serif,For-profit company,,graphic editor,y,,,
AgensGraph,Bitnine Global Inc,For-profit company,y,database,,,considered,
Altair,Altair Engineering,For-profit company,y,visualisation,y,,,
Anaconda,Anaconda,For-profit company,y,data science platform,y,y,,
Annotorious,Pelagios Commons,University,y,image annotation library,,,considered,
Ansible,Red Hat,For-profit company,y,automation,y,y,,
Apache Cocoon,Apache Software Foundation,Non-profit organisation,y,framework,,y,,
Apache Solr,Apache Software Foundation,Non-profit organisation,y,search engine,y,y,,
Apache Traffic Server,Apache Software Foundation,Non-profit organisation,y,web server,y,,,
ArangoDB,ArangoDB,For-profit company,y,database,,,considered,
ArcGIS,Esri,For-profit company,,mapping,y,y,,
Archetype,King's College London,University,y,annotation,y,y,,
Azure,Microsoft,For-profit company,,cloud computing service ,,,considered,
BIBFRAME,Library of Congress,Non-profit organisation,y,standard,y,,,
Binder,Binder Team,Community,y,notebook,,,considered,
Blender,Blender Foundation,Non-profit organisation,y,3D,y,,,
Bootstrap,Bootstrap Core Team,Community,y,framework,y,,,
Bulma,,Community,y,framework,y,,,
C,Bell Labs,Non-profit organisation,y,programming language,y,y,,
CATMA,University of Hamburg,University,y,text annotation,,,considered,
Celery,,Community,y,automation,,y,,
Charisma.ai,Charisma Entertainment,For-profit company,,storytelling platform,y,,,
Chart.js,Chart.js community,Community,y,visualisation,y,,,
CIDOC CRM,International Council of Museums,Non-profit organisation,y,standard,y,y,,
CKAN,Open Knowledge Foundation,Non-profit organisation,y,data management system,y,,,
Confluence,Atlassian,For-profit company,,project management ,,y,,
CQL,University of Stuttgart,University,,query language ,,,considered,
CSS,World Wide Web Consortium,Non-profit organisation,y,styling,y,y,,
D3.js,,Community,y,visualisation,y,y,,
Data center,University of London,University,,research computing infrastructure,y,y,,
Data Curator,,Community,y,data editor ,,,considered,
Debian,,Community,y,operating system,,y,,
Discourse,"Civilized Discourse Construction Kit, inc",For-profit company,y,communication,,y,,
Disqus,Zeta Global,For-profit company,,commenting,,y,,
Django,Django Software Foundation,Non-profit organisation,y,framework,y,y,,
Django LDAP,King's College London,University,y,authentication,y,y,,
Django REST Framework,Encode,Non-profit organisation,y,API,y,,,
Docker,Docker company,For-profit company,y,container engine,y,,,
DublinCore,ASIS&T,Non-profit organisation,y,standard,y,y,,
Eclipse,Eclipse Foundation,Non-profit organisation,y,editor,,y,,
EDTF,Library of Congress,Non-profit organisation,y,standard,y,,,
Elasticsearch,Elastic NV,For-profit company,y,search engine,y,y,,
Fabric,,Community,y,automation,y,y,,
Figshare,Digital Science,For-profit company,,data management system,y,,,
FileMaker,Claris International,For-profit company,,database,,y,,
Flask,Pocoo,Community,y,web publishing,,y,,
Flickr,SmugMug,For-profit company,,framework,y,y,,
flowmap.blue,,Community,y,mapping,y,,,
Foundation,ZURB,For-profit company,y,framework,y,y,,
Fulcrum,Spatial Networks,For-profit company,,web publishing,,,considered,
GATE,University of Sheffield,University,y,natural language processing,,y,,
GDAL,Open Source Geospatial Foundation,Non-profit organisation,y,mapping,y,y,,
GearVR,Samsung,For-profit company,,virtual reality,,,considered,
Gensim,RARE Technologies,For-profit company,y,natural language processing,,,considered,
GeoDa,University of Illinois at Urbana-Champaign,University,y,geostatistics,y,,,
GeoNames,,Community ,y,API,y,y,,
Geopy,Python Software Foundation,Non-profit organisation,y,mapping,y,,,
Geoserver,Open Source Geospatial Foundation,Non-profit organisation,y,mapping,,y,,
Gephi,Gephi Consortium,Non-profit organisation,y,visualisation,,y,,
Git,Software Freedom Conservancy,Non-profit organisation,y,source control,y,y,,
GitHub,Microsoft,For-profit company,y,code-repository service,y,y,,
GitLab,GitLab B.V. ,For-profit company,y,code-repository service,y,,,
GloVe,Stanford University,University,y,machine learning,,,considered,
GoAccess,,Community ,y,web analytics,y,,,
Google Analytics,Google,For-profit company,,web analytics,y,y,,
Google Colaboratory,Google,For-profit company,,notebook,y,,,
Google Drive,Google,For-profit company,,storage,,y,,
Gulp,,Community,y,web development,y,,,
Haystack,Django Software Foundation,Non-profit organisation,y,search engine,,y,,
HTML,Web Hypertext Application Technology,Community,y,markup language,y,,,
Hypothes.is,Hypothes.is Project,Non-profit organisation,y,annotation,y,,,
IIIF,IIIF Community,Community,y,standard,y,y,,
IIPImage,Ruven,Community,y,image server ,,y,,
Illustrator,Adobe,For-profit company,,graphic editor,y,y,,
Instant Meshes,,Community ,y,3D,y,,,
Isotope,,Community,y,library,y,y,,
Java,Oracle Corporation,For-profit company,y,programming language,,y,,
JavaScript,,Community,y,programming language,y,y,,
Jekyll,,Community,y,static site generator,y,,,
Jest,Facebook,For-profit company,y,testing,y,,,
Jetty,Eclipse Foundation,Non-profit organisation,y,web server ,y,y,,
JIRA,Atlassian,For-profit company,,project management ,,y,,
jQuery,The jQuery Project,Community,y,library,y,y,,
JSON,,Community,y,standard,y,y,,
Jupyter Notebook,Project Jupyter,Community,y,notebook,y,y,,
Kepler.gl,Uber Technologies,For-profit company,y,mapping,y,,,
Kibana,Elastic NV,For-profit company,y,visualisation,y,,,
Kiln,King's College London,University,y,framework,,y,,
Kraken,PSL Research University,University,,transcription,,y,,
LeafletJS,,Community,y,mapping,y,y,,
Lemming,,Community,y,natural language processing,y,,,
LibCrowds,British Library,Non-profit organisation,y,crowdsourcing,,,considered,
Ludwig,Uber Technologies,For-profit company,y,machine learning,,,considered,
MacOS,Apple,For-profit company,,operating system,y,,,
Make,,Community,y,automation,y,y,,
Mallet,University of Massachusetts Amherst,University,y,natural language processing,,,considered,
Manifold,CUNY,University,y,web publishing,,,considered,
Matplotlib,,Community,y,visualisation,y,,,
Mentimeter,Mentimeter company,For-profit company,,interactive presentation,y,,,
Mercurial,,Community,y,source control management ,,y,,
MerMEId,Royal Danish Library,Non-profit organisation,y,encoding,,,considered,
Meshroom,Alice Vision,Community,y,photogrammetry,y,,,
Metabase,Metabase company,For-profit company,y,web publishing,y,,,
Metashape,Agisoft,For-profit company,,3D,y,,,
Microsoft SharePoint,Microsoft,For-profit company,,storage,y,,,
Microsoft Teams,Microsoft,For-profit company,,communication,y,,,
Miro,Miro company,For-profit company,,collaboration,y,,,
MongoDB,MongoDB Inc.,For-profit company,y,database,y,,,
MS Excel,Microsoft,For-profit company,,spreadsheet,y,y,,
MySQL,Oracle Corporation,For-profit company,y,database,y,y,,
Nagios,,Community,y,monitoring,y,y,,
Neo4J,Neo4j company,For-profit company,y,database,y,y,,
Nginx,"Nginx, Inc.",For-profit company,y,web server,y,y,,
NLTK,Team NLTK,Community,y,natural language processing,y,y,,
Notepad++,Notepad plus plus .org,Community,,editor,y,y,,
Npm,"Npm, Inc.",For-profit company,y,package manager,y,y,,
Observable,"Observable, Inc.",For-profit company,,visualisation,y,,,
Oculus Quest,Facebook,For-profit company,,virtual reality,y,,,
Omeka,Roy Rosenzweig Center for History and New Media,Non-profit organisation,y,web publishing,,y,,
OpenLayers,Open Source Geospatial Foundation,Non-profit organisation,y,mapping,,y,,
OpenRefine,OpenRefine,Community,y,image viewer,y,,,
OpenSeaDragon,,Community,y,visualisation,y,y,,
OrientDB,OrientDB company,For-profit company,y,database,,,considered,
OSF,Center for Open Science,Non-profit organisation,,preprints,y,,,
Oxygen XML Editor,SyncRO Soft,For-profit company,,editor,y,y,,
Pa11y,,Community,y,accessibility,y,,,
Peripleo,Pelagios Commons,University,y,visualisation,,,,
Perl,,Community,y,programming language,y,y,,
Photoshop,Adobe,For-profit company,,graphics editor ,y,y,,
Pip,,Community,y,package manager,y,y,,
PostGIS,Open Geospatial Consortium,Non-profit organisation,y,mapping,y,y,,
PostgreSQL,PostgreSQL Global Development Group,Community,y,database,y,y,,
Pytest,,Community,y,testing,y,,,
Python,Python Software Foundation,Non-profit organisation,y,programming language,y,y,,
QGIS,Open Source Geospatial Foundation,Non-profit organisation,y,mapping,y,,,
Raspberry Pi,Raspberry Pi Foundation,Non-profit organisation,y,computer,y,,,
RDF,World Wide Web Consortium,Non-profit organisation,y,standard,y,y,,
RDF4J,Eclipse Foundation,Non-profit organisation,y,database,y,y,,
Recogito,Pelagios Network,University,y,annotation,,,considered,
Redis,Redis company,For-profit company,y,database,y,y,,
Rosalind,King's College London,University,y,cloud computing service,,,considered,
Ruby,,Community,y,programming language,y,,,
Scalar,University of Southern California,University,y,web publishing,,,considered,
scikit-learn,,Community,y,machine learning,y,y,,
SCSS,,Community,y,styling,y,y,,
Seaborn,,Community,y,visualisation,y,y,,
Shiny R,Rstudio,For-profit company,y,visualisation,y,,,
sigma.js,medialab Sciences Po,University,y,visualisation,,y,,
Siteimprove,Siteimprove company,For-profit company,,accessibility,y,,,
Sketch Engine,Lexical Computing,For-profit company,,machine learning,,,considered,
Sketchfab,Epic Games,For-profit company,,3D,y,,,
Slack,Slack Technologies,For-profit company,,communication,y,y,,
SocNetV,,Community,y,social network analysis,y,,,
SoundCloud,SoundCloud company,For-profit company,,audio distribution platform,y,y,,
spaCy,Explosion AI,For-profit company,y,natural language processing,y,,,
Stanza,Stanford University,University,y,natural language processing,,,considered,
Stereoscope,University of Hamburg,University,,natural language processing,y,,,
Sublime Text,Sublime HQ,For-profit company,,editor,y,y,,
